All,Sve
Custom,Prilagođeno
"Read Details","Pročitajte detalje"
"Mark as Read","Označi kao pročitano"
"Are you sure?","Jeste li sigurni?"
Remove,Ukloni
"Messages Inbox",Sandučić
"Incoming Message","Dolazna poruka"
close,zatvori
Notifications,Obavijesti
"The message has been marked as Read.","Poruka je označena kao pročitana."
"Please select messages.","Odaberite poruke."
"1 Hour","1 sat"
"2 Hours","2 sata"
"6 Hours","6 sati"
"12 Hours","12 sati"
"24 Hours","24 sata"
critical,kritično
notice,obavijest
Close,Zatvori
"Create Order","Kreiraj narudžbu"
Back,Natrag
"Add Products","Dodaj proizvode"
Cancel,Poništi
Product,Proizvod
Price,Cijena
Quantity,Količina
Products,Proizvodi
"Recently Compared Products (%1)","Nedavno uspoređeni proizvodi (%1)"
"Recently Viewed Products (%1)","Nedavno pogledani proizvodi (%1)"
"Wish List (%1)","Popis želja (%1)"
Apply,Primjeni
Configure,Konfiguriraj
"Sorry, something went wrong. You can find out more in the error log.","Žao nam je, nešto je pošlo po zlu. Možete saznati više u zapisniku s pogreškama."
"You do not have access to this.","Nemate pristup."
"Yes, for Everyone","Da, za sve"
No,Ne
"The file is corrupt.","Datoteka je oštećena."
Qty,Kol
Discount,Popust
"Please select","Molimo odaberite"
"Move to Wish List","Premjesti na popis želja"
"SKU number","SKU broj"
"Upload File","Prijenos datoteke"
"What's this?","Što je ovo?"
Edit,Uredi
"Add to Cart","Stavi u košaricu"
File,Datoteka
"This file needs to be in .csv format.","Ova datoteka mora biti u .csv formatu."
Yes,Da
"--Please Select--","--Molimo vas odaberite---"
"We can't process your order right now. Please try again later.","Trenutno ne možemo obraditi vašu narudžbu. Pokušajte ponovo kasnije."
"Card Verification Number","Kontrolni broj"
Title,Naslov
Total,Ukupno
Tax,Porez
"User Name","Korisničko ime"
"Last Name",Prezime
"New Password","Nova lozinka"
"Password Confirmation","Potvrda lozinke"
Refresh,Osvježi
Delete,Obriši
Save,Spremi
Name,Naziv
Disabled,Isključen
"Are you sure you want to do this?","Jeste li sigurni da želite ovo?"
From,Od
To,Do
Submit,Potvrdi
Dashboard,"Upravljačka ploča"
Username,"Korisničko ime"
Description,Opis
Rule,Pravilo
Month,Mjesec
Year,Godina
"* Required Fields","* Obavezna polja"
State/Province,Regija/pokrajina
"Zip/Postal Code","Poštanski broj"
"Delete Attribute","Izbriši atribut"
Import,Uvoz
"Remove This Item","Ukloni ovu stavku"
"Save Category","Spremi kategoriju"
"Delete Category","Obriši kategoriju"
Ok,"U redu"
"Add New Rule","Dodaj novo pravilo"
"New Theme","Nova tema"
"Sign In",Prijava
"Edit Terms and Conditions","Uredi Opće uvjete"
"Write Us","Pišite nam"
Monthly,Mjesečno
"Manage Currency Rates","Upravljanje tečajima valuta"
"Invalid Document \n%1","Dokument nije valjan \n%1"
"Save & Activate","Spremi i aktiviraj"
"Full Page Cache","Predmemorija cijele stranice"
"Method ""%1"" is not defined in ""%2""","Metoda ""%1"" nije definirana u ""%2"""
"Coupon Code","Kupon kod"
"Are you sure you want to delete this?","Jeste li sigurni da želite obrisati ovo?"
"Credit Card was successfully removed","Kreditna kartica je uspješno uklonjena"
